# RELATORIO DE COMPARACAO MORPHE
# gerado: 2026-05-07 13:07:41
# bundle: /home/coordenador/Documentos/Morphe/Python/fft_bundle.mrph
# bundle_saved: 2026-05-07 13:05:26
# bundle_title: Morphe FFT
# tipo: fft
# fft_mode: magnitude
# sinal_entrada: x[n] - Retangular A=10000.0, início=0, largura=8, N=64
# fs_entrada: 1.0
# n_amostras_entrada: 64

## METRICAS (FPGA vs NumPy)
n_amostras_comparadas:  1024
erro_abs_max:           79687.5
erro_rms:               28173.78811
snr_db:                 0.0340 dB
erro_rel_max:           0.996095 (em indice 895)
norma_referencia:       905096.6799
norma_diferenca:        901561.2196

## ARRAYS (n  fpga  numpy  erro)
81	1.45191387e+02	3.71697899e+04	-3.70245986e+04
82	1.41853651e+02	3.63153492e+04	-3.61734956e+04
83	1.38511588e+02	3.54597871e+04	-3.53212755e+04
84	1.35166282e+02	3.46033775e+04	-3.44682113e+04
85	1.31817650e+02	3.37463938e+04	-3.36145762e+04
86	1.28468836e+02	3.28891087e+04	-3.27606399e+04
87	1.25120102e+02	3.20317944e+04	-3.19066743e+04
88	1.21773449e+02	3.11747222e+04	-3.10529488e+04
89	1.18427019e+02	3.03181626e+04	-3.01997355e+04
90	1.15083811e+02	2.94623849e+04	-2.93473011e+04
91	1.11745300e+02	2.86076577e+04	-2.84959124e+04
92	1.08412601e+02	2.77542480e+04	-2.76458354e+04
93	1.05084440e+02	2.69024217e+04	-2.67973373e+04
94	1.01764234e+02	2.60524434e+04	-2.59506791e+04
95	9.84522286e+01	2.52045758e+04	-2.51061236e+04
96	9.51516801e+01	2.43590805e+04	-2.42639288e+04
97	9.18582906e+01	2.35162170e+04	-2.34243587e+04
98	8.85769957e+01	2.26762431e+04	-2.25876661e+04
99	8.53085715e+01	2.18394149e+04	-2.17541064e+04
100	8.20528130e+01	2.10059863e+04	-2.09239335e+04
101	7.88107190e+01	2.01762091e+04	-2.00973984e+04
